"","uid","signup_dt","auth_type","device"
"1",21639492,"2016-06-01","C",1
"2",21640161,"2016-06-01","A",6
"3",21640773,"2016-06-01","C",5
"4",21641605,"2016-06-01","A",1
"5",21643130,"2016-06-01","C",6
"6",21644509,"2016-06-01","C",1
"7",21645033,"2016-06-01","A",2
"8",21645932,"2016-06-01","C",2
"9",21645974,"2016-06-01","C",1
"10",21646765,"2016-06-01","A",1
"11",21647268,"2016-06-01","C",6
"12",21647789,"2016-06-01","C",6
"13",21648246,"2016-06-01","C",6
"14",21648773,"2016-06-01","C",1
"15",21651354,"2016-06-02","C",2
"16",21651859,"2016-06-02","C",6
"17",21652495,"2016-06-02","C",1
"18",21654443,"2016-06-02","B",1
"19",21655089,"2016-06-02","C",6
"20",21656268,"2016-06-02","C",5
"21",21656459,"2016-06-02","A",1
"22",21656748,"2016-06-02","B",7
"23",21658010,"2016-06-02","C",1
"24",21658207,"2016-06-02","C",6
"25",21658403,"2016-06-02","A",6
"26",21659027,"2016-06-02","C",1
"27",21659506,"2016-06-02","C",1
"28",21660942,"2016-06-02","A",5
"29",21661035,"2016-06-02","A",5
"30",21662515,"2016-06-03","C",5
"31",21664511,"2016-06-03","C",1
"32",21664526,"2016-06-03","A",5
"33",21665383,"2016-06-03","C",1
"34",21665630,"2016-06-03","A",4
"35",21666549,"2016-06-03","A",3
"36",21669597,"2016-06-03","A",1
"37",21670458,"2016-06-03","C",7
"38",21670637,"2016-06-03","A",6
"39",21670901,"2016-06-03","C",6
"40",21671027,"2016-06-03","B",1
"41",21671435,"2016-06-03","C",1
"42",21671898,"2016-06-03","A",1
"43",21672030,"2016-06-03","A",2
"44",21672505,"2016-06-03","A",1
"45",21672526,"2016-06-03","C",5
"46",21672566,"2016-06-03","C",4
"47",21672932,"2016-06-03","B",1
"48",21676535,"2016-06-04","C",5
"49",21678099,"2016-06-04","A",1
"50",21678975,"2016-06-04","B",7
"51",21679028,"2016-06-04","A",5
"52",21680177,"2016-06-04","A",5
"53",21682423,"2016-06-04","C",5
"54",21682792,"2016-06-04","C",1
"55",21683193,"2016-06-04","C",1
"56",21683201,"2016-06-04","C",6
"57",21683638,"2016-06-04","C",1
"58",21683788,"2016-06-04","B",7
"59",21684480,"2016-06-04","A",4
"60",21684673,"2016-06-04","B",7
"61",21685651,"2016-06-04","A",6
"62",21688248,"2016-06-05","C",4
"63",21688818,"2016-06-05","C",1
"64",21690124,"2016-06-05","C",6
"65",21690672,"2016-06-05","B",1
"66",21691005,"2016-06-05","C",5
"67",21691022,"2016-06-05","A",5
"68",21691706,"2016-06-05","B",7
"69",21694235,"2016-06-05","C",1
"70",21694406,"2016-06-05","C",1
"71",21696231,"2016-06-05","B",7
"72",21696609,"2016-06-05","C",1
"73",21697117,"2016-06-05","C",6
"74",21697343,"2016-06-05","C",2
"75",21697398,"2016-06-05","C",1
"76",21698910,"2016-06-05","A",6
"77",21699258,"2016-06-05","B",1
"78",21699358,"2016-06-05","C",6
"79",21699691,"2016-06-05","C",1
"80",21700829,"2016-06-05","C",5
"81",21701617,"2016-06-05","A",5
"82",21702173,"2016-06-05","C",5
"83",21702676,"2016-06-06","A",6
"84",21704723,"2016-06-06","C",1
"85",21705102,"2016-06-06","C",5
"86",21705649,"2016-06-06","A",6
"87",21705897,"2016-06-06","C",1
"88",21707200,"2016-06-06","B",6
"89",21709614,"2016-06-06","C",1
"90",21709669,"2016-06-06","A",6
"91",21709770,"2016-06-06","C",1
"92",21710262,"2016-06-06","C",5
"93",21710899,"2016-06-06","A",6
"94",21711573,"2016-06-06","A",1
"95",21712549,"2016-06-06","C",2
"96",21712622,"2016-06-06","C",1
"97",21712809,"2016-06-06","A",5
"98",21712887,"2016-06-06","A",1
"99",21713175,"2016-06-06","C",2
"100",21714199,"2016-06-06","B",1
"101",21714360,"2016-06-06","C",6
"102",21714374,"2016-06-06","B",7
"103",21714798,"2016-06-06","C",5
"104",21715036,"2016-06-06","C",1
"105",21715258,"2016-06-06","B",6
